2012-08-20T12:23:09-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 27959857, ServiceId 16112, CustomerId 1345476188, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:23:09-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 27959857, ServiceId 16112, CustomerId 1345476188, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T12:23:09-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 27959857, ServiceId 16112, CustomerId 1345476188, Nachricht: Kreditkartenzahlung zugestimmt 
2012-08-20T12:23:29-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 81652064, ServiceId 16112, CustomerId 1345476209, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:24:26-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 69992427, ServiceId 16112, CustomerId 1345476266, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:27:25-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 15326811, ServiceId 16112, CustomerId 1345476445, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:30:08-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 31473510, ServiceId 13608, CustomerId 1345476608, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:30:08-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 31473510, ServiceId 13608, CustomerId 1345476608, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:30:08-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 31473510, ServiceId 13608, CustomerId 1345476608, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:30:08-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 31473510, ServiceId 13608, CustomerId 1345476608, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T12:30:08-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 31473510, ServiceId 13608, CustomerId 1345476608, Nachricht: Kreditkartenzahlung zugestimmt 
2012-08-20T12:30:26-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 54469355, ServiceId 13608, CustomerId 1345476626, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:30:53-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 39307333, ServiceId 16112, CustomerId 1345476653, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:31:25-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 65315920, ServiceId 16112, CustomerId 1345476685, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:32:05-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 68322192, ServiceId 16112, CustomerId 1345476725, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:34:37-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 50948111, ServiceId 13608, CustomerId 1345476877, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:34:37-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 50948111, ServiceId 13608, CustomerId 1345476877, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:34:37-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 50948111, ServiceId 13608, CustomerId 1345476877, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:34:37-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 50948111, ServiceId 13608, CustomerId 1345476877, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T12:34:37-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 50948111, ServiceId 13608, CustomerId 1345476877, Nachricht: Kreditkartenzahlung zugestimmt 
2012-08-20T12:34:49-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 38860668, ServiceId 13608, CustomerId 1345476889, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:34:50-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 05956686, ServiceId 13608, CustomerId 1345476890, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:37:28-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 38819559, ServiceId 14229, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:37:28-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 38819559, ServiceId 14229, CustomerId 258467, Nachricht: Sofortüberweisung abgelehnt, weil systemweit deaktiviert 
2012-08-20T12:37:28-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 38819559, ServiceId 14229, CustomerId 258467, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T12:37:28-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 38819559, ServiceId 14229, CustomerId 258467, Nachricht: Kreditkartenzahlung zugestimmt 
2012-08-20T12:37:28-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 38819559, ServiceId 14229, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:37:28-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 38819559, ServiceId 14229, CustomerId 258467, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T12:37:28-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 38819559, ServiceId 14229, CustomerId 258467, Nachricht: Kreditkartenzahlung zugestimmt 
2012-08-20T12:37:52-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 88700395, ServiceId 14229, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T12:37:55-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 44660813, ServiceId 14229, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
