Land;Stadt;Anzahl;KW
FR;Vaulx-en-Velin;22;33
FR;Oullins;22;33
FR;Collonges-au-Mont-d\'Or;21;33
FR;Champagne-au-Mont-d\'Or;21;33
FR;Antony;21;33
FR;Clamart;21;33
FR;Saint-Cyr-au-Mont-d\'Or;21;33
FR;Saint-Didier-au-Mont-d\'Or;21;33
FR;Ecully;21;33
FR;Sainte-Foy-lès-Lyon;20;33
FR;Nanterre;20;33
FR;Saint-Maurice;20;33
FR;Bry-sur-Marne;19;33
FR;Marseille;19;33
FR;Noisy-le-Sec;19;33
FR;Sceaux;19;33
FR;Champigny-sur-Marne;19;33
FR;Joinville-le-Pont;19;33
FR;La Garenne-Colombes;18;33
FR;Villejuif;18;33
FR;Chevilly-Larue;18;33
FR;Gennevilliers;18;33
FR;Alfortville;18;33
FR;Saint-Cloud;18;33
FR;Fontenay-sous-Bois;18;33
FR;Aubervilliers;18;33
FR;Le Plessis-Robinson;17;33
FR;Neuilly-sur-Marne;17;33
FR;Rueil-Malmaison;17;33
FR;Colombes;17;33
FR;Bobigny;16;33
FR;La Defense;16;33
FR;Sèvres;16;33
FR;Vitry-sur-Seine;16;33
FR;Le Perreux-sur-Marne;16;33
FR;Villiers-sur-Marne;15;33
FR;Maisons-Alfort;15;33
FR;Thiais;15;33
FR;Neuilly-Plaisance;14;33
FR;Bois-Colombes;14;33
FR;Verrières-le-Buisson;14;33
FR;Strasbourg;14;33
FR;Wissous;14;33
FR;Meudon;14;33
FR;Massy;14;33
FR;Noisy-le-Grand;14;33
FR;Fresnes;13;33
FR;Choisy-le-Roi;13;33
FR;Bondy;13;33
FR;Ville-d\'Avray;12;33
FR;Saint-Denis;12;33
FR;Saint-Maur-des-Fossés;12;33
FR;Grabels;11;33
FR;Lattes;11;33
FR;Orly;11;33
FR;Montpellier;11;33
FR;Créteil;11;33
FR;Saint-Jean-de-Védas;11;33
FR;Villeneuve-la-Garenne;11;33
FR;Juvignac;11;33
FR;Castelnau-le-Lez;11;33
FR;Le Plessis-Trévise;11;33
FR;Versailles;10;33
FR;Chennevières-sur-Marne;10;33
FR;Villeneuve-le-Roi;10;33
FR;Rungis;10;33
FR;Palaiseau;9;33
FR;La Plaine-Saint-Denis;9;33
FR;Garches;8;33
FR;Vaujours;8;33
FR;Ostwald;8;33
FR;Villemomble;8;33
FR;Juvisy-sur-Orge;8;33
FR;La Courneuve;8;33
FR;Savigny-sur-Orge;8;33
FR;Guyancourt;8;33
FR;Buc;8;33
FR;Vaucresson;8;33
FR;Villebon-sur-Yvette;8;33
FR;Les Pavillons-sous-Bois;8;33
FR;Livry-Gargan;8;33
FR;Viry-Châtillon;8;33
FR;Le Raincy;7;33
FR;Schiltigheim;7;33
FR;Vélizy-Villacoublay;7;33
FR;Igny;7;33
FR;Ablon-sur-Seine;7;33
FR;Ormesson-sur-Marne;7;33
FR;Toulouse;7;33
FR;Tremblay-en-France;7;33
FR;Longjumeau;7;33
FR;Bièvres;7;33
FR;Chaville;7;33
FR;Drancy;7;33
FR;Sevran;7;33
FR;La Varenne-Saint-Hilaire;7;33
FR;Ris-Orangis;7;33
FR;Villeneuve-Saint-Georges;6;33
FR;Villetaneuse;6;33
FR;Champlan;6;33
FR;La Queue-en-Brie;6;33
FR;Le Pecq;6;33
FR;Morsang-sur-Orge;6;33
FR;Viroflay;6;33
FR;Sucy-en-Brie;6;33
FR;Aulnay-sous-Bois;6;33
FR;Gournay-sur-Marne;6;33
FR;Meudon-la-Forêt;6;33
FR;L\'Ile-Saint-Denis;6;33
